🇨🇳央视频道,#genre#
动作电影,http://39.134.67.70/wh7f454c46tw3749878734_1704693577/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8?icpid=88888888&RTS=1749481368&from=5&hms_devid=164&online=1749481368&vqe=3
古装剧场,http://39.134.67.71/wh7f454c46tw3757977350_1661240311/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8?icpid=88888888&RTS=1749481376&from=5&hms_devid=164&online=1749481376&vqe=3
海外剧场,http://39.134.67.72/wh7f454c46tw3765852393_1766829167/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8?icpid=88888888&RTS=1749481384&from=5&hms_devid=163&online=1749481384&vqe=3
家庭剧场,http://39.134.67.135/wh7f454c46tw3773795309_1427035964/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8?icpid=88888888&RTS=1749481392&from=5&hms_devid=709&online=1749481392&vqe=3
金牌综艺,http://39.134.67.150/wh7f454c46tw3782021387_1225270153/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8?icpid=88888888&RTS=1749481400&from=5&hms_devid=977&online=1749481400&vqe=3
惊悚悬疑,http://39.134.67.69/wh7f454c46tw3789542366_1664231792/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8?icpid=88888888&RTS=1749481408&from=5&hms_devid=167&online=1749481408&vqe=3
精品纪录,http://39.134.67.132/wh7f454c46tw3797476782_1914074885/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8?icpid=88888888&RTS=1749481416&from=5&hms_devid=714&online=1749481416&vqe=3
精品剧场,http://39.134.67.135/wh7f454c46tw3805476165_1515440919/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8?icpid=88888888&RTS=1749481424&from=5&hms_devid=709&online=1749481424&vqe=3
军旅剧场,http://39.134.67.153/wh7f454c46tw3815674896_1325944008/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8?icpid=88888888&RTS=1749481434&from=5&hms_devid=978&online=1749481434&vqe=3
军事评论,http://39.134.67.68/wh7f454c46tw3823229042_2081762392/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8?icpid=88888888&RTS=1749481441&from=5&hms_devid=167&online=1749481441&vqe=3
明星大片,http://39.134.67.72/wh7f454c46tw3836182770_-435273247/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8?icpid=88888888&RTS=1749481454&from=5&hms_devid=163&online=1749481454&vqe=3
农业致富,http://39.134.67.72/wh7f454c46tw3843517928_-1832490043/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8?icpid=88888888&RTS=1749481462&from=5&hms_devid=163&online=1749481462&vqe=3
武搏世界,http://39.134.67.73/wh7f454c46tw3853088126_426103619/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8?icpid=88888888&RTS=1749481471&from=5&hms_devid=163&online=1749481471&vqe=3
炫舞未来,http://39.134.67.68/wh7f454c46tw3861507663_1806966825/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8?icpid=88888888&RTS=1749481480&from=5&hms_devid=167&online=1749481480&vqe=3
怡伴健康,http://39.134.67.73/wh7f454c46tw3868988319_-1121408728/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8?icpid=88888888&RTS=1749481487&from=5&hms_devid=163&online=1749481487&vqe=3
中国功夫,http://39.134.67.73/wh7f454c46tw3876086277_153467392/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8?icpid=88888888&RTS=1749481494&from=5&hms_devid=163&online=1749481494&vqe=3
