河北1套联通,#genre#
中国交通频道,http://101.17.113.135:9999/rtp/239.253.93.189:6357
kaku 少儿,http://101.17.113.135:9999/rtp/239.253.92.162:8054
金鹰卡通,http://101.17.113.135:9999/rtp/239.253.92.163:8055
嘉佳卡通,http://101.17.113.135:9999/rtp/239.253.93.203:6381
优漫卡通,http://101.17.113.135:9999/rtp/239.253.93.204:6382
山东教育,http://101.17.113.135:9999/rtp/239.253.92.106:6135
兵团卫视,http://101.17.113.135:9999/rtp/239.253.93.176:6344
百姓健康,http://101.17.113.135:9999/rtp/239.253.92.199:6568
证券服务,http://101.17.113.135:9999/rtp/239.253.92.124:6569
电视指南,http://101.17.113.135:9999/rtp/239.253.92.17:6078
第一剧场,http://101.17.113.135:9999/rtp/239.253.92.18:6079
风云剧场,http://101.17.113.135:9999/rtp/239.253.92.22:6073
怀旧剧场,http://101.17.113.135:9999/rtp/239.253.92.98:6120
风云音乐,http://101.17.113.135:9999/rtp/239.253.92.111:8060
风云足球,http://101.17.113.135:9999/rtp/239.253.92.110:8061
高尔夫网球,http://101.17.113.135:9999/rtp/239.253.92.117:8062
武术世界,http://101.17.113.135:9999/rtp/239.253.92.141:8064
兵器科技,http://101.17.113.135:9999/rtp/239.253.92.119:8065
世界地理,http://101.17.113.135:9999/rtp/239.253.92.113:8066
老故事,http://101.17.113.135:9999/rtp/239.253.92.132:8068
环球奇观,http://101.17.113.135:9999/rtp/239.253.92.130:8069
文物宝库,http://101.17.113.135:9999/rtp/239.253.92.159:8070
国学,http://101.17.113.135:9999/rtp/239.253.92.158:8071
女性时尚,http://101.17.113.135:9999/rtp/239.253.92.249:6103
文化精品,http://101.17.113.135:9999/rtp/239.253.92.25:6104
早期教育,http://101.17.113.135:9999/rtp/239.253.92.39:6107
梨园,http://101.17.113.135:9999/rtp/239.253.92.152:8086
汽摩,http://101.17.113.135:9999/rtp/239.253.92.46:6110
CETV-2,http://101.17.113.135:9999/rtp/239.253.92.108:6136
CETV-4,http://101.17.113.135:9999/rtp/239.253.92.200:6137
中学生,http://101.17.113.135:9999/rtp/239.253.92.27:6106
快乐垂钓高清,http://101.17.113.135:9999/rtp/239.253.93.213:6391
